evtime	station	ptime	stime	pscore	sscore	evsource
2017-04-18 16:18:02.000000	TOL1	1492532295.36400000	1492532304.57400000	0.00000000	0.00000000	MANUAL
2017-04-25 09:52:20.000000	COP2	1493113953.11200000	1493113962.29600000	0.00000000	0.00000000	MANUAL
2017-04-25 09:52:20.000000	COPA	1493113954.52500000	1493113964.68700000	0.00000000	0.00000000	MANUAL
2017-04-25 09:52:20.000000	MANZ	1493113944.67200000	1493113947.51800000	0.00000000	0.00000000	MANUAL
2017-04-25 09:52:20.000000	TOL1	1493113946.13800000	1493113950.17900000	0.00000000	0.00000000	MANUAL
2017-04-26 02:49:27.000000	CALL	1493174972.36000000	1493174976.34000000	0.00000000	0.00000000	MANUAL
2017-04-26 02:49:27.000000	COP2	1493174976.07200000	1493174982.56600000	0.00000000	0.00000000	MANUAL
2017-04-26 02:49:27.000000	COPA	1493174976.44700000	1493174983.42500000	0.00000000	0.00000000	MANUAL
2017-04-26 02:49:27.000000	TOL1	1493174976.56000000	1493174983.25600000	0.00000000	0.00000000	MANUAL
2017-05-11 05:32:47.000000	CALL	1494480772.79400000	1494480776.55000000	0.00000000	0.00000000	MANUAL
2017-05-11 05:32:47.000000	COP2	1494480771.96200000	1494480775.08600000	0.00000000	0.00000000	MANUAL
2017-05-11 05:32:47.000000	COPA	1494480770.40800000	1494480772.23400000	0.00000000	0.00000000	MANUAL
2017-05-11 05:32:47.000000	TOL1	1494480779.66600000	1494480788.41600000	0.00000000	0.00000000	MANUAL
2017-05-20 18:10:08.000000	CALL	1495303813.79200000	1495303817.59600000	0.00000000	0.00000000	MANUAL
2017-05-20 18:10:08.000000	COP2	1495303813.07900000	1495303816.19300000	0.00000000	0.00000000	MANUAL
2017-05-20 18:10:08.000000	COPA	1495303811.52400000	1495303813.57600000	0.00000000	0.00000000	MANUAL
2017-05-20 18:10:08.000000	TOL1	1495303820.79200000	1495303829.50300000	0.00000000	0.00000000	MANUAL
2017-05-21 14:54:29.000000	CALL	1495378480.57900000	1495378488.03400000	0.00000000	0.00000000	MANUAL
2017-05-21 14:54:29.000000	COP2	1495378478.65800000	1495378484.77500000	0.00000000	0.00000000	MANUAL
2017-05-21 14:54:29.000000	COPA	1495378480.13000000	1495378487.37400000	0.00000000	0.00000000	MANUAL
2017-05-21 14:54:29.000000	LONQ	1495378473.21000000	1495378475.33500000	0.00000000	0.00000000	MANUAL
2017-05-21 14:54:29.000000	MANZ	1495378474.22200000	1495378477.19700000	0.00000000	0.00000000	MANUAL
2017-05-21 14:54:29.000000	TOL1	1495378474.24000000	1495378477.15500000	0.00000000	0.00000000	MANUAL
2017-05-30 00:21:16.000000	CALL	1496103686.79700000	1496103694.17000000	0.00000000	0.00000000	MANUAL
2017-05-30 00:21:16.000000	COP2	1496103684.77800000	1496103690.91800000	0.00000000	0.00000000	MANUAL
2017-05-30 00:21:16.000000	COPA	1496103686.44000000	1496103693.55800000	0.00000000	0.00000000	MANUAL
2017-05-30 00:21:16.000000	LONQ	1496103679.34800000	1496103681.51100000	0.00000000	0.00000000	MANUAL
2017-05-30 00:21:16.000000	MANZ	1496103680.35200000	1496103683.43500000	0.00000000	0.00000000	MANUAL
2017-05-30 00:21:16.000000	TOL1	1496103680.41000000	1496103683.36500000	0.00000000	0.00000000	MANUAL
2017-06-13 01:29:35.000000	COP2	1497317385.26500000	1497317390.71700000	0.00000000	0.00000000	MANUAL
2017-06-13 01:29:35.000000	COPA	1497317386.05600000	1497317393.08100000	0.00000000	0.00000000	MANUAL
2017-06-13 01:29:35.000000	LONQ	1497317378.39200000	1497317379.89400000	0.00000000	0.00000000	MANUAL
2017-06-13 01:29:35.000000	TOL1	1497317377.68400000	1497317378.99500000	0.00000000	0.00000000	MANUAL
2017-07-06 03:56:41.000000	CALL	1499313405.78400000	1499313409.09300000	0.00000000	0.00000000	MANUAL
2017-07-06 03:56:41.000000	COP2	1499313406.09200000	1499313409.22400000	0.00000000	0.00000000	MANUAL
2017-07-06 03:56:41.000000	COPA	1499313407.37400000	1499313411.35900000	0.00000000	0.00000000	MANUAL
2017-07-06 03:56:41.000000	LONQ	1499313408.70900000	1499313413.61500000	0.00000000	0.00000000	MANUAL
2017-12-19 20:34:42.000000	COP2	1513715687.14400000	1513715690.36600000	0.00000000	0.00000000	MANUAL
2017-12-19 20:34:42.000000	COPA	1513715688.79000000	1513715693.14200000	0.00000000	0.00000000	MANUAL
