 _____________________________________ 
< HOLA, ESTO ESTA EN DESARROLLO AUN!! >
 ------------------------------------- 
        \   ^__^
         \  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||
Conecting to SQL database...
 Database: BetaGema     (IP 192.168.1.19:3306)

[31] 2017-05-21 14:54:29  -38.4009 -71.4888  11.9   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[32] 2017-05-21 14:54:29  -38.3950 -71.5010  13.2   M 2.2   12 ph  GAP 220  RMS 0.2 s  ERR  4.8 km xyz(  4.9 km,  4.6 km,  5.0 km) [MANUAL]
[33] 2017-05-30 00:21:16  -38.4104 -71.4779   7.9   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[34] 2017-05-30 00:21:16  -38.3988 -71.4963  12.7   M 2.1   12 ph  GAP 223  RMS 0.2 s  ERR  3.4 km xyz(  3.1 km,  3.4 km,  3.8 km) [MANUAL]
[35] 2017-06-13 01:29:35  -38.3252 -71.6340   4.3   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[36] 2017-06-13 01:29:35  -38.3248 -71.6317   4.3   M 2.0    9 ph  GAP 182  RMS 0.3 s  ERR  5.4 km xyz(  3.9 km,  5.0 km,  6.9 km) [MANUAL]
[37] 2017-07-06 03:56:41  -38.0805 -71.5215   9.3   M 1.6    8 ph  GAP 171  RMS 0.2 s  ERR  8.1 km xyz(  9.2 km,  6.4 km,  8.4 km) [MANUAL]
[38] 2017-07-06 03:56:42  -38.0331 -71.5037  12.0   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[39] 2017-12-19 20:34:42  -38.1703 -71.4827   8.9   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[40] 2017-12-19 20:34:42  -38.1725 -71.4723   9.0   M 2.0    8 ph  GAP 181  RMS 0.2 s  ERR  7.3 km xyz(  8.2 km,  5.5 km,  7.9 km) [MANUAL]
[41] 2017-12-21 16:28:21  -38.1788 -71.4764   6.0   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[42] 2017-12-21 16:28:21  -38.1703 -71.4777   6.2   M 1.9    8 ph  GAP 183  RMS 0.3 s  ERR  7.8 km xyz(  8.7 km,  5.9 km,  8.6 km) [MANUAL]
[43] 2017-12-27 06:47:46  -38.1924 -71.4534   6.1   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
