[64] 2018-06-07 10:03:29  -38.1896 -71.4722   9.0   M 1.3    8 ph  GAP 176  RMS 0.2 s  ERR  7.4 km xyz(  7.7 km,  5.3 km,  8.8 km) [MANUAL]
[66] 2018-06-12 18:18:20  -38.2412 -71.5642   9.0   M 2.5   10 ph  GAP 187  RMS 0.2 s  ERR  5.6 km xyz(  5.6 km,  3.9 km,  6.8 km) [MANUAL]
[68] 2018-06-20 07:04:16  -38.1917 -71.4695   9.3   M 1.8   10 ph  GAP 175  RMS 0.2 s  ERR  6.1 km xyz(  6.4 km,  4.5 km,  7.0 km) [MANUAL]
[70] 2018-06-30 16:25:42  -38.3573 -71.5874   5.4   M 2.0    8 ph  GAP 136  RMS 0.2 s  ERR  3.7 km xyz(  3.1 km,  3.6 km,  4.2 km) [MANUAL]
[72] 2019-01-01 09:45:48  -38.4061 -71.6232   7.0   M 2.3   12 ph  GAP 151  RMS 0.2 s  ERR  5.3 km xyz(  6.5 km,  4.0 km,  5.2 km) [MANUAL]
[74] 2019-01-29 04:02:20  -37.9433 -71.2068   4.5   M 2.1   10 ph  GAP 316  RMS 0.5 s  ERR 16.7 km xyz( 17.6 km, 18.4 km, 13.6 km) [MANUAL]
[76] 2019-02-21 14:05:23  -37.7537 -71.0244  20.0   M 2.9   12 ph  GAP 339  RMS 0.2 s  ERR  9.9 km xyz( 10.4 km,  9.7 km,  9.7 km) [MANUAL]
[77] 2019-02-21 14:08:33  -37.7535 -70.9920  20.0   M 2.2    8 ph  GAP 344  RMS 0.2 s  ERR 14.7 km xyz( 14.3 km, 15.4 km, 14.4 km) [MANUAL]
[80] 2019-02-22 02:47:22  -37.7798 -71.0999  12.2   M 1.3    8 ph  GAP 340  RMS 0.4 s  ERR 20.2 km xyz( 20.3 km, 22.1 km, 17.8 km) [MANUAL]
[82] 2019-02-22 02:49:25  -37.8658 -71.1425  15.3   M 1.8    9 ph  GAP 329  RMS 0.2 s  ERR 10.6 km xyz( 12.9 km,  9.8 km,  8.7 km) [MANUAL]
[83] 2019-02-22 07:13:44  -37.7127 -70.9951   6.4   M 3.3   12 ph  GAP 341  RMS 0.4 s  ERR 12.4 km xyz(  9.7 km, 14.4 km, 12.6 km) [MANUAL]
[85] 2019-02-22 07:19:28  -37.7441 -71.2758   1.0   M 1.7    7 ph  GAP 326  RMS 0.3 s  ERR 15.7 km xyz( 18.9 km, 14.2 km, 13.5 km) [MANUAL]
[88] 2019-02-22 07:23:58  -37.7282 -71.0787  20.0   M 1.7    8 ph  GAP 341  RMS 0.1 s  ERR 12.2 km xyz( 12.1 km, 11.3 km, 13.2 km) [MANUAL]
[89] 2019-02-22 07:28:03  -37.7538 -71.0569  23.1   M 1.6    7 ph  GAP 342  RMS 0.2 s  ERR 17.0 km xyz( 20.7 km, 15.5 km, 14.1 km) [MANUAL]
[91] 2019-02-22 11:58:19  -37.8136 -71.0023  12.2   M 1.9    8 ph  GAP 340  RMS 0.3 s  ERR 13.8 km xyz( 12.1 km, 14.4 km, 14.7 km) [MANUAL]
[93] 2019-02-22 12:00:11  -37.7557 -71.0109  20.4   M 1.4    7 ph  GAP 344  RMS 0.2 s  ERR 14.3 km xyz( 16.4 km, 12.6 km, 13.7 km) [MANUAL]
[96] 2019-02-22 12:29:33  -37.7302 -71.0598  20.4   M 2.4   10 ph  GAP 341  RMS 0.2 s  ERR  9.7 km xyz(  9.1 km,  9.0 km, 11.0 km) [MANUAL]
[97] 2019-02-22 13:29:25  -37.7367 -71.0570  20.0   M 2.3   10 ph  GAP 340  RMS 0.3 s  ERR 12.3 km xyz( 12.6 km, 10.8 km, 13.4 km) [MANUAL]
[99] 2019-02-22 15:23:21  -37.7813 -70.9728  20.4   M 1.9    8 ph  GAP 342  RMS 0.2 s  ERR 12.1 km xyz( 10.8 km, 13.0 km, 12.3 km) [MANUAL]
[101] 2019-02-22 19:58:51  -37.7730 -71.0216  20.4   M 1.9    8 ph  GAP 337  RMS 0.1 s  ERR  8.1 km xyz(  7.3 km,  8.5 km,  8.5 km) [MANUAL]
[104] 2019-02-22 20:25:35  -37.7601 -71.0325  22.7   M 3.1   12 ph  GAP 338  RMS 0.1 s  ERR  6.1 km xyz(  7.2 km,  5.9 km,  4.9 km) [MANUAL]
[106] 2019-02-22 20:28:37  -37.7548 -71.0393  19.4   M 3.8   12 ph  GAP 339  RMS 0.2 s  ERR  7.7 km xyz(  9.1 km,  7.3 km,  6.6 km) [MANUAL]
[108] 2019-02-22 21:14:44  -37.7734 -71.0973   1.0   M 1.6    6 ph  GAP 340  RMS 0.0 s  ERR 22.2 km xyz( 26.2 km, 19.8 km, 20.0 km) [MANUAL]
